ProjectId,TaskId,TaskName,Status,ProjectName,PhaseId,Phase,Assignee,Priority,StartDate,DueDate,HoursTracked,Is this a Billing Milestone?,Invoice Raised?,% of amount to be billed,Dependency,ParentTaskId,ParentTask,AtRisk,Progress,ActualStartDate,CompletedAt,RemainingHours,Effort(hrs),Billable,Category
PRJ-200,TSK-2022,Feed 22,To do,Widefield Retail - Enterprise Rollout,PHS-W1,Build,Amara Diallo,,2026-07-01,2026-07-15,0.00,,,,,,,,,,,0.00,,true,
PRJ-200,TSK-2023,Feed 23,To do,Widefield Retail - Enterprise Rollout,PHS-W1,Build,Yusuf Kaya,,2026-07-01,2026-07-15,1.50,,,,,,,,,,,0.00,,true,
PRJ-200,TSK-2024,Feed 24,In progress,Widefield Retail - Enterprise Rollout,PHS-W1,Build,Hana Sato,,2026-07-01,2026-07-15,1.50,,,,,,,,,,,0.00,,true,
PRJ-200,TSK-2025,Feed 25,To do,Widefield Retail - Enterprise Rollout,PHS-W1,Build,Arjun Mehta,,2026-07-01,2026-07-15,1.50,,,,,,,,,,,0.00,,true,
PRJ-200,TSK-2026,Feed 26,To do,Widefield Retail - Enterprise Rollout,PHS-W1,Build,Lena Fischer,,2026-07-01,2026-07-15,0.00,,,,,,,,,,,0.00,,true,
PRJ-200,TSK-2027,Feed 27,In progress,Widefield Retail - Enterprise Rollout,PHS-W1,Build,Tomas Novak,,2026-07-01,2026-07-15,1.50,,,,,,,,,,,0.00,,true,
PRJ-200,TSK-2028,Feed 28,To do,Widefield Retail - Enterprise Rollout,PHS-W1,Build,Amara Diallo,,2026-07-01,2026-07-15,1.50,,,,,,,,,,,0.00,,true,
PRJ-200,TSK-2029,Feed 29,To do,Widefield Retail - Enterprise Rollout,PHS-W1,Build,Yusuf Kaya,,2026-07-01,2026-07-15,1.50,,,,,,,,,,,0.00,,true,
PRJ-200,TSK-2030,Feed 30,In progress,Widefield Retail - Enterprise Rollout,PHS-W1,Build,Hana Sato,,2026-07-01,2026-07-15,0.00,,,,,,,,,,,0.00,,true,
PRJ-200,TSK-2031,Feed 31,To do,Widefield Retail - Enterprise Rollout,PHS-W1,Build,Arjun Mehta,,2026-07-01,2026-07-15,1.50,,,,,,,,,,,0.00,,true,
PRJ-200,TSK-2032,Feed 32,To do,Widefield Retail - Enterprise Rollout,PHS-W1,Build,Lena Fischer,,2026-07-01,2026-07-15,1.50,,,,,,,,,,,0.00,,true,
PRJ-200,TSK-2033,Feed 33,In progress,Widefield Retail - Enterprise Rollout,PHS-W1,Build,Tomas Novak,,2026-07-01,2026-07-15,1.50,,,,,,,,,,,0.00,,true,
PRJ-200,TSK-2034,Feed 34,To do,Widefield Retail - Enterprise Rollout,PHS-W1,Build,Amara Diallo,,2026-07-01,2026-07-15,0.00,,,,,,,,,,,0.00,,true,
PRJ-200,TSK-2035,Feed 35,To do,Widefield Retail - Enterprise Rollout,PHS-W1,Build,Yusuf Kaya,,2026-07-01,2026-07-15,1.50,,,,,,,,,,,0.00,,true,
PRJ-200,TSK-2036,Feed 36,In progress,Widefield Retail - Enterprise Rollout,PHS-W1,Build,Hana Sato,,2026-07-01,2026-07-15,1.50,,,,,,,,,,,0.00,,true,
PRJ-200,TSK-2037,Feed 37,To do,Widefield Retail - Enterprise Rollout,PHS-W1,Build,Arjun Mehta,,2026-07-01,2026-07-15,1.50,,,,,,,,,,,0.00,,true,
PRJ-200,TSK-2038,Feed 38,To do,Widefield Retail - Enterprise Rollout,PHS-W1,Build,Lena Fischer,,2026-07-01,2026-07-15,0.00,,,,,,,,,,,0.00,,true,
PRJ-200,TSK-2039,Feed 39,In progress,Widefield Retail - Enterprise Rollout,PHS-W1,Build,Tomas Novak,,2026-07-01,2026-07-15,1.50,,,,,,,,,,,0.00,,true,
PRJ-200,TSK-2040,Feed 40,To do,Widefield Retail - Enterprise Rollout,PHS-W1,Build,Amara Diallo,,2026-07-01,2026-07-15,1.50,,,,,,,,,,,0.00,,true,
PRJ-200,TSK-2000,Release,To do,Widefield Retail - Enterprise Rollout,PHS-W2,Launch,,,2026-07-01,2026-07-15,1.00,true,,,"Feed 01, Feed 02, Feed 03, Feed 04, Feed 05, Feed 06, Feed 07, Feed 08, Feed 09, Feed 10, Feed 11, Feed 12, Feed 13, Feed 14, Feed 15, Feed 16, Feed 17, Feed 18, Feed 19, Feed 20, Feed 21, Feed 22, Feed 23, Feed 24, Feed 25, Feed 26, Feed 27, Feed 28, Feed 29, Feed 30, Feed 31, Feed 32, Feed 33, Feed 34, Feed 35, Feed 36, Feed 37, Feed 38, Feed 39, Feed 40",,,,,,,0.00,,true,
