ProjectId,ProjectName,ProjectStatus,StartDate,DueDate,ProjectOwner,ProjectOwnerId,ProjectOwnerEmail,CustomerName,CustomerId,Progress,Project Type,CompletedTasks,OverdueTasks,BlockedTasks,AtRiskTasks,ApprovalPending,BRD Sign-off,UAT Sign-off,% BM Billed,% BM Created,Billing Status,ProjectTrackedHours,PercentageBudgetConsumed,ActualStartDate,ActualCompletedDate,Kick-off Date,Final Go Live Date,First Go-Live Date,PlannedDuration,ProjectBudget,EstimateAtCompletion,EstimateToComplete,ProjectRevenue,ProjectCost,ProjectProfit,Invoiced Amount,TeamMembers,Region
PRJ-0019,Wayne GmbH - Phase 2 Rollout,In progress,2026-05-19,2027-02-03,Daniel Raman,ACT-1001,daniel.raman.1@example.com,Wayne GmbH,50018,60,CLM Platform,,,,,,,,,,,,,,,,,,,,,,,,,,"Sofia Rossi|sofia.rossi.115@example.org, Tomas Sato|tomas.sato.134@example.org",MEA
PRJ-0020,Hooli GmbH - Phase 2 Rollout,In progress,2026-07-16,2027-02-06,Daniel Raman,ACT-1001,daniel.raman.1@example.com,Hooli GmbH,50019,61,CLM Platform,,,,,,,,,,,,,,,,,,,,,,,,,,"Sofia Rossi|sofia.rossi.115@example.org, Tomas Sato|tomas.sato.118@example.org",AMER
PRJ-0021,Wonka Group - Phase 1 Implementation,Completed,2026-06-20,2027-02-27,Sofia Tanaka,ACT-1003,sofia.tanaka.3@example.com,Wonka Group,50020,100.00,Change Request ,,,,,,,,,,,,,,,,,,,,,,,,,,"Lena Sato|lena.sato.133@example.org, Marco Sato|marco.sato.138@example.org, Zara Novak|zara.novak.111@example.org, Kwame Rossi|kwame.rossi.124@example.org",MEA
PRJ-0022,Hooli GmbH - Phase 1 Implementation,In progress,2026-01-09,2027-01-11,Sofia Tanaka,ACT-1003,sofia.tanaka.3@example.com,Hooli GmbH,50021,21,Change Request ,,,,,,,,,,,,,,,,,,,,,,,,,,Zara Kaya|zara.kaya.127@example.org,APAC
PRJ-0023,Aperture GmbH - Migration,In progress,2026-01-06,2026-02-28,Daniel Raman,ACT-1001,daniel.raman.1@example.com,Aperture GmbH,50022,16,Change Request ,,,,,,,,,,,,,,,,,,,,,,,,,,"Arjun Sato|arjun.sato.132@example.org, Tomas Sato|tomas.sato.118@example.org, Zara Novak|zara.novak.111@example.org, Amara Berg|amara.berg.135@example.org, Marco Sato|marco.sato.138@example.org, Amara Sato|amara.sato.119@example.org",Europe
PRJ-0024,Initech Group - Migration,In progress,2026-04-14,2026-12-31,Tomas Okafor,ACT-1006,tomas.okafor.6@example.com,Initech Group,50023,8,Migration,,,,,,,,,,,,,,,,,,,,,,,,,,Kwame Novak|kwame.novak.108@example.org,Europe
PRJ-0025,Wonka Ltd - CLM Implementation,In progress,2026-01-10,2026-07-29,Marco Okafor,ACT-1010,marco.okafor.10@example.com,Wonka Ltd,50024,32,CLM Platform,,,,,,,,,,,,,,,,,,,,,,,,,,Sofia Rossi|sofia.rossi.115@example.org,APAC
PRJ-0026,Vandelay Group - Enterprise Rollout,On hold,2026-04-10,2026-09-24,Yusuf Tanaka,ACT-1008,yusuf.tanaka.8@example.com,Vandelay Group,50025,74,Migration,,,,,,,,,,,,,,,,,,,,,,,,,,Tomas Sato|tomas.sato.134@example.org,AMER
PRJ-0027,Acme LLC - Enterprise Rollout,In progress,2026-05-12,2026-08-02,Arjun Tanaka,ACT-1004,arjun.tanaka.4@example.com,Acme LLC,50026,89,Migration,,,,,,,,,,,,,,,,,,,,,,,,,,"Elena Sato|elena.sato.109@example.org, Noah Novak|noah.novak.110@example.org, Ingrid Sato|ingrid.sato.107@example.org, Noah Diallo|noah.diallo.126@example.org, Marco Sato|marco.sato.138@example.org",Europe
PRJ-0028,Cyberdyne LLC - Enterprise Rollout,In progress,2026-07-22,2026-10-05,Tomas Okafor,ACT-1006,tomas.okafor.6@example.com,Cyberdyne LLC,50027,25,Change Request ,,,,,,,,,,,,,,,,,,,,,,,,,,"Yusuf Diallo|yusuf.diallo.104@example.org, Marco Diallo|marco.diallo.106@example.org, Yusuf Rossi|yusuf.rossi.136@example.org, Sofia Berg|sofia.berg.131@example.org",Europe
PRJ-0029,Contoso Inc - Integration Program,In progress,2026-07-20,2027-05-23,Priya Raman,ACT-1000,priya.raman.0@example.com,Contoso Inc,50028,58,Migration,,,,,,,,,,,,,,,,,,,,,,,,,,"Zara Kaya|zara.kaya.127@example.org, Priya Sato|priya.sato.128@example.org, Lena Kaya|lena.kaya.101@example.org, Tomas Sato|tomas.sato.134@example.org, Tomas Sato|tomas.sato.118@example.org",AMER
PRJ-0030,Cyberdyne Ltd - Enterprise Rollout,On hold,2026-05-13,2026-09-15,Tomas Okafor,ACT-1006,tomas.okafor.6@example.com,Cyberdyne Ltd,50029,57,Change Request ,,,,,,,,,,,,,,,,,,,,,,,,,,Zara Novak|zara.novak.111@example.org,MEA
PRJ-0031,Wayne Group - Phase 1 Implementation,Completed,2026-05-03,2026-11-12,Sofia Tanaka,ACT-1003,sofia.tanaka.3@example.com,Wayne Group,50030,100.00,CLM Platform,,,,,,,,,,,,,,,,,,,,,,,,,,Elena Diallo|elena.diallo.125@example.org,APAC
PRJ-0032,Initech Inc - Enterprise Rollout,In progress,2026-05-04,2027-02-10,Lena Okafor,ACT-1005,lena.okafor.5@example.com,Initech Inc,50031,68,Change Request ,,,,,,,,,,,,,,,,,,,,,,,,,,"Marco Sato|marco.sato.122@example.org, Hana Rossi|hana.rossi.121@example.org, Kwame Rossi|kwame.rossi.124@example.org",Europe
PRJ-0033,Umbrella GmbH - Phase 2 Rollout,In progress,2026-03-21,2027-03-22,Daniel Raman,ACT-1001,daniel.raman.1@example.com,Umbrella GmbH,50032,56,Change Request ,,,,,,,,,,,,,,,,,,,,,,,,,,"Lena Rossi|lena.rossi.117@example.org, Tomas Novak|tomas.novak.102@example.org, Tomas Novak|tomas.novak.102@example.org, Sofia Rossi|sofia.rossi.115@example.org, Daniel Kaya|daniel.kaya.129@example.org",APAC
PRJ-0034,Acme LLC - Phase 1 Implementation,In progress,2026-05-05,2027-01-15,Lena Okafor,ACT-1005,lena.okafor.5@example.com,Acme LLC,50033,43,Change Request ,,,,,,,,,,,,,,,,,,,,,,,,,,"Priya Sato|priya.sato.128@example.org, Marco Sato|marco.sato.138@example.org, Yusuf Diallo|yusuf.diallo.104@example.org, Tomas Sato|tomas.sato.134@example.org",AMER
PRJ-0035,Massive Dynamic Group - Phase 2 Rollout,In progress,2026-03-17,2027-02-12,Sofia Tanaka,ACT-1003,sofia.tanaka.3@example.com,Massive Dynamic Group,50034,76,Migration,,,,,,,,,,,,,,,,,,,,,,,,,,"Amara Berg|amara.berg.135@example.org, Hana Rossi|hana.rossi.121@example.org, Zara Novak|zara.novak.111@example.org, Lena Kaya|lena.kaya.101@example.org",Europe
PRJ-0036,Soylent GmbH - CLM Implementation,Completed,2026-07-01,2027-07-30,Mei Alvarez,ACT-1002,mei.alvarez.2@example.com,Soylent GmbH,50035,100.00,Migration,,,,,,,,,,,,,,,,,,,,,,,,,,Daniel Kaya|daniel.kaya.113@example.org,MEA
PRJ-0037,Vandelay Ltd - Phase 2 Rollout,In progress,2026-05-17,2027-03-06,Hana Tanaka,ACT-1009,hana.tanaka.9@example.com,Vandelay Ltd,50036,35,CLM Platform,,,,,,,,,,,,,,,,,,,,,,,,,,"Kwame Novak|kwame.novak.108@example.org, Elena Diallo|elena.diallo.125@example.org, Hana Rossi|hana.rossi.137@example.org, Daniel Kaya|daniel.kaya.129@example.org",AMER
PRJ-0038,Northwind LLC - Enterprise Rollout,Completed,2026-06-19,2026-12-18,Sofia Tanaka,ACT-1003,sofia.tanaka.3@example.com,Northwind LLC,50037,100.00,Change Request ,,,,,,,,,,,,,,,,,,,,,,,,,,Arjun Sato|arjun.sato.100@example.org,APAC
PRJ-0039,Contoso GmbH - Enterprise Rollout,In progress,2026-05-10,2026-10-28,Sofia Tanaka,ACT-1003,sofia.tanaka.3@example.com,Contoso GmbH,50038,43,Change Request ,,,,,,,,,,,,,,,,,,,,,,,,,,"Noah Novak|noah.novak.110@example.org, Elena Sato|elena.sato.109@example.org, Elena Sato|elena.sato.109@example.org, Zara Kaya|zara.kaya.127@example.org, Marco Sato|marco.sato.122@example.org, Zara Kaya|zara.kaya.127@example.org",Europe
PRJ-0040,Globex LLC - Phase 2 Rollout,In progress,2026-06-29,2026-10-12,Priya Raman,ACT-1000,priya.raman.0@example.com,Globex LLC,50039,21,Migration,,,,,,,,,,,,,,,,,,,,,,,,,,"Mei Sato|mei.sato.114@example.org, Zara Novak|zara.novak.111@example.org",APAC
PRJ-0041,Aperture Ltd - CLM Implementation,In progress,2026-01-17,2026-06-19,Yusuf Tanaka,ACT-1008,yusuf.tanaka.8@example.com,Aperture Ltd,50040,81,Migration,,,,,,,,,,,,,,,,,,,,,,,,,,"Noah Novak|noah.novak.110@example.org, Tomas Novak|tomas.novak.102@example.org, Priya Diallo|priya.diallo.112@example.org, Mei Sato|mei.sato.114@example.org",Europe
PRJ-0042,Wonka Ltd - Migration,In progress,2026-06-07,2027-05-27,Mei Alvarez,ACT-1002,mei.alvarez.2@example.com,Wonka Ltd,50041,14,Change Request ,,,,,,,,,,,,,,,,,,,,,,,,,,"Priya Diallo|priya.diallo.112@example.org, Elena Sato|elena.sato.109@example.org, Amara Diallo|amara.diallo.103@example.org, Ingrid Rossi|ingrid.rossi.123@example.org, Arjun Sato|arjun.sato.132@example.org, Sofia Rossi|sofia.rossi.115@example.org",APAC
PRJ-0043,Northwind Group - Phase 2 Rollout,Completed,2026-04-21,2027-02-01,Lena Okafor,ACT-1005,lena.okafor.5@example.com,Northwind Group,50042,100.00,Change Request ,,,,,,,,,,,,,,,,,,,,,,,,,,"Amara Diallo|amara.diallo.103@example.org, Yusuf Rossi|yusuf.rossi.136@example.org",Europe
PRJ-0044,Wonka Ltd - CLM Implementation,In progress,2026-03-29,2027-03-15,Lena Okafor,ACT-1005,lena.okafor.5@example.com,Wonka Ltd,50043,40,Migration,,,,,,,,,,,,,,,,,,,,,,,,,,"Noah Diallo|noah.diallo.126@example.org, Marco Diallo|marco.diallo.106@example.org, Elena Sato|elena.sato.109@example.org, Amara Diallo|amara.diallo.103@example.org",Europe
PRJ-0045,Stark LLC - Integration Program,In progress,2026-02-06,2026-07-30,Priya Raman,ACT-1000,priya.raman.0@example.com,Stark LLC,50044,96,CLM Platform,,,,,,,,,,,,,,,,,,,,,,,,,,Mei Kaya|mei.kaya.130@example.org,AMER
PRJ-0046,Soylent Inc - Migration,In progress,2026-07-01,2026-10-27,Tomas Okafor,ACT-1006,tomas.okafor.6@example.com,Soylent Inc,50045,86,Migration,,,,,,,,,,,,,,,,,,,,,,,,,,Lena Rossi|lena.rossi.117@example.org,APAC
PRJ-0047,Cyberdyne Inc - CLM Implementation,In progress,2026-07-13,2027-01-11,Yusuf Tanaka,ACT-1008,yusuf.tanaka.8@example.com,Cyberdyne Inc,50046,81,Migration,,,,,,,,,,,,,,,,,,,,,,,,,,Ingrid Sato|ingrid.sato.139@example.org,AMER
PRJ-0048,Cyberdyne LLC - Phase 1 Implementation,In progress,2026-01-23,2026-05-28,Amara Raman,ACT-1007,amara.raman.7@example.com,Cyberdyne LLC,50047,88,Migration,,,,,,,,,,,,,,,,,,,,,,,,,,"Marco Sato|marco.sato.138@example.org, Hana Kaya|hana.kaya.105@example.org, Hana Rossi|hana.rossi.137@example.org, Sofia Berg|sofia.berg.131@example.org, Elena Diallo|elena.diallo.125@example.org",Europe
PRJ-0049,Northwind LLC - Integration Program,In progress,2026-04-30,2027-01-19,Marco Okafor,ACT-1010,marco.okafor.10@example.com,Northwind LLC,50048,71,Change Request ,,,,,,,,,,,,,,,,,,,,,,,,,,Yusuf Sato|yusuf.sato.120@example.org,MEA
PRJ-0050,Wayne Group - Integration Program,In progress,2026-05-15,2026-10-24,Sofia Tanaka,ACT-1003,sofia.tanaka.3@example.com,Wayne Group,50049,43,CLM Platform,,,,,,,,,,,,,,,,,,,,,,,,,,"Marco Diallo|marco.diallo.106@example.org, Hana Kaya|hana.kaya.105@example.org, Arjun Diallo|arjun.diallo.116@example.org",MEA
PRJ-0051,Globex LLC - Phase 2 Rollout,In progress,2026-05-18,2026-12-14,Amara Raman,ACT-1007,amara.raman.7@example.com,Globex LLC,50050,65,CLM Platform,,,,,,,,,,,,,,,,,,,,,,,,,,"Tomas Sato|tomas.sato.118@example.org, Amara Sato|amara.sato.119@example.org, Amara Diallo|amara.diallo.103@example.org",MEA
PRJ-0052,Acme Inc - Phase 1 Implementation,In progress,2026-05-15,2027-03-04,Hana Tanaka,ACT-1009,hana.tanaka.9@example.com,Acme Inc,50051,42,Change Request ,,,,,,,,,,,,,,,,,,,,,,,,,,"Priya Sato|priya.sato.128@example.org, Hana Rossi|hana.rossi.121@example.org, Mei Sato|mei.sato.114@example.org, Noah Novak|noah.novak.110@example.org, Tomas Novak|tomas.novak.102@example.org, Daniel Kaya|daniel.kaya.113@example.org",MEA
PRJ-0053,Northwind LLC - Phase 2 Rollout,In progress,2026-07-21,2027-05-24,Lena Okafor,ACT-1005,lena.okafor.5@example.com,Northwind LLC,50052,32,Migration,,,,,,,,,,,,,,,,,,,,,,,,,,"Tomas Sato|tomas.sato.134@example.org, Daniel Kaya|daniel.kaya.113@example.org, Elena Diallo|elena.diallo.125@example.org",Europe
PRJ-0054,Globex GmbH - Enterprise Rollout,In progress,2026-04-26,2026-08-31,Yusuf Tanaka,ACT-1008,yusuf.tanaka.8@example.com,Globex GmbH,50053,51,Change Request ,,,,,,,,,,,,,,,,,,,,,,,,,,"Daniel Kaya|daniel.kaya.129@example.org, Noah Diallo|noah.diallo.126@example.org, Mei Sato|mei.sato.114@example.org, Elena Sato|elena.sato.109@example.org, Sofia Berg|sofia.berg.131@example.org, Mei Sato|mei.sato.114@example.org",Europe
PRJ-0055,Vandelay GmbH - Enterprise Rollout,In progress,2026-05-26,2026-11-05,Yusuf Tanaka,ACT-1008,yusuf.tanaka.8@example.com,Vandelay GmbH,50054,28,CLM Platform,,,,,,,,,,,,,,,,,,,,,,,,,,"Arjun Diallo|arjun.diallo.116@example.org, Marco Diallo|marco.diallo.106@example.org, Yusuf Diallo|yusuf.diallo.104@example.org",MEA
PRJ-0056,Soylent Ltd - Phase 2 Rollout,In progress,2026-06-10,2027-06-08,Daniel Raman,ACT-1001,daniel.raman.1@example.com,Soylent Ltd,50055,21,CLM Platform,,,,,,,,,,,,,,,,,,,,,,,,,,Hana Rossi|hana.rossi.137@example.org,MEA
PRJ-0057,Tyrell LLC - Phase 2 Rollout,In progress,2026-03-02,2026-08-02,Hana Tanaka,ACT-1009,hana.tanaka.9@example.com,Tyrell LLC,50056,26,Change Request ,,,,,,,,,,,,,,,,,,,,,,,,,,"Priya Diallo|priya.diallo.112@example.org, Priya Sato|priya.sato.128@example.org, Marco Sato|marco.sato.122@example.org",Europe
PRJ-0058,Wonka LLC - Enterprise Rollout,In progress,2026-07-18,2027-03-17,Lena Okafor,ACT-1005,lena.okafor.5@example.com,Wonka LLC,50057,97,Change Request ,,,,,,,,,,,,,,,,,,,,,,,,,,"Amara Sato|amara.sato.119@example.org, Lena Kaya|lena.kaya.101@example.org",APAC
PRJ-0059,Globex LLC - Enterprise Rollout,In progress,2026-05-21,2027-01-05,Mei Alvarez,ACT-1002,mei.alvarez.2@example.com,Globex LLC,50058,39,CLM Platform,,,,,,,,,,,,,,,,,,,,,,,,,,"Noah Novak|noah.novak.110@example.org, Kwame Rossi|kwame.rossi.124@example.org, Hana Kaya|hana.kaya.105@example.org",Europe
PRJ-0060,Globex GmbH - Integration Program,In progress,2026-07-12,2027-01-10,Amara Raman,ACT-1007,amara.raman.7@example.com,Globex GmbH,50059,19,CLM Platform,,,,,,,,,,,,,,,,,,,,,,,,,,"Ingrid Sato|ingrid.sato.139@example.org, Lena Sato|lena.sato.133@example.org",APAC
PRJ-0061,Aperture LLC - Phase 1 Implementation,In progress,2026-02-24,2026-06-10,Marco Okafor,ACT-1010,marco.okafor.10@example.com,Aperture LLC,50060,32,CLM Platform,,,,,,,,,,,,,,,,,,,,,,,,,,"Priya Sato|priya.sato.128@example.org, Sofia Berg|sofia.berg.131@example.org, Hana Kaya|hana.kaya.105@example.org, Elena Sato|elena.sato.109@example.org",APAC
PRJ-0062,Contoso Inc - Phase 2 Rollout,In progress,2026-06-21,2026-08-31,Hana Tanaka,ACT-1009,hana.tanaka.9@example.com,Contoso Inc,50061,40,Migration,,,,,,,,,,,,,,,,,,,,,,,,,,"Amara Berg|amara.berg.135@example.org, Lena Sato|lena.sato.133@example.org",APAC
PRJ-0063,Soylent Group - CLM Implementation,On hold,2026-04-05,2026-11-05,Priya Raman,ACT-1000,priya.raman.0@example.com,Soylent Group,50062,90,CLM Platform,,,,,,,,,,,,,,,,,,,,,,,,,,"Tomas Novak|tomas.novak.102@example.org, Noah Diallo|noah.diallo.126@example.org, Marco Diallo|marco.diallo.106@example.org, Hana Kaya|hana.kaya.105@example.org, Ingrid Sato|ingrid.sato.107@example.org, Mei Sato|mei.sato.114@example.org",AMER
PRJ-0064,Cyberdyne Group - Migration,In progress,2026-04-05,2026-05-05,Amara Raman,ACT-1007,amara.raman.7@example.com,Cyberdyne Group,50063,75,Migration,,,,,,,,,,,,,,,,,,,,,,,,,,"Zara Kaya|zara.kaya.127@example.org, Marco Sato|marco.sato.138@example.org, Tomas Novak|tomas.novak.102@example.org, Lena Sato|lena.sato.133@example.org, Tomas Sato|tomas.sato.134@example.org",APAC
PRJ-0065,Vandelay LLC - Enterprise Rollout,In progress,2026-01-10,2026-10-20,Lena Okafor,ACT-1005,lena.okafor.5@example.com,Vandelay LLC,50064,87,CLM Platform,,,,,,,,,,,,,,,,,,,,,,,,,,Hana Rossi|hana.rossi.121@example.org,AMER
PRJ-0066,Tyrell GmbH - Phase 1 Implementation,In progress,2026-04-25,2026-09-20,Lena Okafor,ACT-1005,lena.okafor.5@example.com,Tyrell GmbH,50065,99,CLM Platform,,,,,,,,,,,,,,,,,,,,,,,,,,"Lena Rossi|lena.rossi.117@example.org, Lena Sato|lena.sato.133@example.org, Yusuf Diallo|yusuf.diallo.104@example.org, Amara Diallo|amara.diallo.103@example.org",MEA
PRJ-0067,Vandelay Group - CLM Implementation,In progress,2026-04-17,2027-04-24,Ingrid Raman,ACT-1011,ingrid.raman.11@example.com,Vandelay Group,50066,41,Migration,,,,,,,,,,,,,,,,,,,,,,,,,,"Tomas Sato|tomas.sato.118@example.org, Lena Kaya|lena.kaya.101@example.org, Arjun Sato|arjun.sato.100@example.org, Marco Sato|marco.sato.122@example.org, Zara Novak|zara.novak.111@example.org",AMER
PRJ-0068,Soylent Group - Phase 1 Implementation,In progress,2026-05-12,2026-10-10,Yusuf Tanaka,ACT-1008,yusuf.tanaka.8@example.com,Soylent Group,50067,0,Migration,,,,,,,,,,,,,,,,,,,,,,,,,,"Sofia Rossi|sofia.rossi.115@example.org, Elena Diallo|elena.diallo.125@example.org, Marco Sato|marco.sato.122@example.org, Yusuf Sato|yusuf.sato.120@example.org, Sofia Rossi|sofia.rossi.115@example.org, Priya Sato|priya.sato.128@example.org",Europe
PRJ-0069,Hooli Inc - Integration Program,In progress,2026-05-09,2027-05-30,Marco Okafor,ACT-1010,marco.okafor.10@example.com,Hooli Inc,50068,28,Migration,,,,,,,,,,,,,,,,,,,,,,,,,,Marco Sato|marco.sato.122@example.org,MEA
PRJ-0070,Massive Dynamic LLC - Migration,In progress,2026-04-07,2026-05-17,Lena Okafor,ACT-1005,lena.okafor.5@example.com,Massive Dynamic LLC,50069,31,Change Request ,,,,,,,,,,,,,,,,,,,,,,,,,,"Lena Rossi|lena.rossi.117@example.org, Marco Sato|marco.sato.122@example.org, Sofia Berg|sofia.berg.131@example.org, Ingrid Sato|ingrid.sato.107@example.org",APAC
PRJ-0071,Aperture Ltd - Migration,In progress,2026-05-19,2027-03-11,Sofia Tanaka,ACT-1003,sofia.tanaka.3@example.com,Aperture Ltd,50070,21,Change Request ,,,,,,,,,,,,,,,,,,,,,,,,,,"Zara Kaya|zara.kaya.127@example.org, Marco Diallo|marco.diallo.106@example.org, Mei Sato|mei.sato.114@example.org",AMER
PRJ-0072,Initech Ltd - Phase 1 Implementation,Completed,2026-04-06,2026-11-03,Daniel Raman,ACT-1001,daniel.raman.1@example.com,Initech Ltd,50071,100.00,CLM Platform,,,,,,,,,,,,,,,,,,,,,,,,,,Ingrid Sato|ingrid.sato.139@example.org,MEA
